Number,Name,Type,Height(m),Weight(lbs),BMI,Image Link
228,Houndour,"['Darkness', 'Fire']",0.6,23.8,10.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png
229,Houndoom,"['Darkness', 'Fire']",1.4,77.2,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png
230,Kingdra,"['Water', 'Dragon']",1.8,335.1,152,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingdra.png
231,Phanpy,['Ground'],0.5,73.9,33.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/phanpy.png
232,Donphan,['Ground'],1.1,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/donphan.png
233,Porygon2,['Normal'],0.6,71.7,32.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon2.png
234,Stantler,['Normal'],1.4,157,71.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/stantler.png
235,Smeargle,['Normal'],1.2,127.9,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/smeargle.png
236,Tyrogue,['Fighting'],0.7,46.3,21,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrogue.png
237,Hitmontop,['Fighting'],1.4,105.8,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmontop.png
238,Smoochum,"['Ice', 'Psychic']",0.4,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/smoochum.png
239,Elekid,['Electric'],0.6,51.8,23.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/elekid.png
240,Magby,['Fire'],0.7,47.2,21.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/magby.png
241,Miltank,['Normal'],1.2,166.4,75.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/miltank.png
242,Blissey,['Normal'],1.5,103.2,46.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png
243,Raikou,['Electric'],1.9,392.4,178,https://img.pokemondb.net/sprites/scarlet-violet/icon/raikou.png
244,Entei,['Fire'],2.1,436.5,198,https://img.pokemondb.net/sprites/scarlet-violet/icon/entei.png
245,Suicune,['Water'],2,412.3,187,https://img.pokemondb.net/sprites/scarlet-violet/icon/suicune.png
246,Larvitar,"['Rock', 'Ground']",0.6,158.7,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvitar.png
247,Pupitar,"['Rock', 'Ground']",1.2,335.1,152,https://img.pokemondb.net/sprites/scarlet-violet/icon/pupitar.png
248,Tyranitar,"['Rock', 'Darkness']",2,445.3,202,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar.png
249,Lugia,"['Psychic', 'Flying']",5.2,476.2,216,https://img.pokemondb.net/sprites/scarlet-violet/icon/lugia.png
250,Ho-oh,"['Fire', 'Flying']",3.8,438.7,199,https://img.pokemondb.net/sprites/scarlet-violet/icon/ho-oh.png
251,Celebi,"['Psychic', 'Grass']",0.6,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/celebi.png
252,Treecko,['Grass'],0.5,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/treecko.png
253,Grovyle,['Grass'],0.9,47.6,21.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/grovyle.png
254,Sceptile,['Grass'],1.7,115.1,52.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile.png
255,Torchic,['Fire'],0.4,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/torchic.png
256,Combusken,"['Fire', 'Fighting']",0.9,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/combusken.png
257,Blaziken,"['Fire', 'Fighting']",1.9,114.6,52,https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken.png
258,Mudkip,['Water'],0.4,16.8,7.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/mudkip.png
259,Marshtomp,"['Water', 'Ground']",0.7,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/marshtomp.png
260,Swampert,"['Water', 'Ground']",1.5,180.6,81.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert.png
261,Poochyena,['Darkness'],0.5,30,13.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/poochyena.png
262,Mightyena,['Darkness'],1,81.6,37,https://img.pokemondb.net/sprites/scarlet-violet/icon/mightyena.png
263,Zigzagoon,['Normal'],0.4,38.6,17.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon.png
264,Linoone,['Normal'],0.5,71.7,32.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone.png
265,Wurmple,['Bug'],0.3,7.9,3.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/wurmple.png
266,Silcoon,['Bug'],0.6,22,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/silcoon.png
267,Beautifly,"['Bug', 'Flying']",1,62.6,28.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/beautifly.png
268,Cascoon,['Bug'],0.7,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cascoon.png
269,Dustox,"['Bug', 'Poison']",1.2,69.7,31.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/dustox.png
270,Lotad,"['Water', 'Grass']",0.5,5.7,2.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/lotad.png
271,Lombre,"['Water', 'Grass']",1.2,71.7,32.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lombre.png
272,Ludicolo,"['Water', 'Grass']",1.5,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ludicolo.png
273,Seedot,['Grass'],0.5,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/seedot.png
274,Nuzleaf,"['Grass', 'Darkness']",1,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/nuzleaf.png
275,Shiftry,"['Grass', 'Darkness']",1.3,131.4,59.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/shiftry.png
276,Taillow,"['Normal', 'Flying']",0.3,5.1,2.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/taillow.png
277,Swellow,"['Normal', 'Flying']",0.7,43.7,19.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/swellow.png
278,Wingull,"['Water', 'Flying']",0.6,20.9,9.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/wingull.png
279,Pelipper,"['Water', 'Flying']",1.2,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/pelipper.png
280,Ralts,"['Psychic', 'Fairy']",0.4,14.6,6.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png
281,Kirlia,"['Psychic', 'Fairy']",0.8,44.5,20.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png
282,Gardevoir,"['Psychic', 'Fairy']",1.6,106.7,48.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png
283,Surskit,"['Bug', 'Water']",0.5,3.7,1.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png
284,Masquerain,"['Bug', 'Flying']",0.8,7.9,3.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png
285,Shroomish,['Grass'],0.4,9.9,4.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png
286,Breloom,"['Grass', 'Fighting']",1.2,86.4,39.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png
287,Slakoth,['Normal'],0.8,52.9,24,https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png
288,Vigoroth,['Normal'],1.4,102.5,46.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png
289,Slaking,['Normal'],2,287.7,130.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png
290,Nincada,"['Bug', 'Ground']",0.5,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/nincada.png
291,Ninjask,"['Bug', 'Flying']",0.8,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninjask.png
292,Shedinja,"['Bug', 'Ghost']",0.8,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/shedinja.png
293,Whismur,['Normal'],0.6,35.9,16.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/whismur.png
294,Loudred,['Normal'],1,89.3,40.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/loudred.png
295,Exploud,['Normal'],1.5,185.2,84,https://img.pokemondb.net/sprites/scarlet-violet/icon/exploud.png
296,Makuhita,['Fighting'],1,190.5,86.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/makuhita.png
297,Hariyama,['Fighting'],2.3,559.5,253.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/hariyama.png
298,Azurill,"['Normal', 'Fairy']",0.2,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png
299,Nosepass,['Rock'],1,213.8,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/nosepass.png
300,Skitty,['Normal'],0.6,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/skitty.png
301,Delcatty,['Normal'],1.1,71.9,32.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/delcatty.png
302,Sableye,"['Darkness', 'Ghost']",0.5,24.3,11,https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye.png
303,Mawile,"['Metal', 'Fairy']",0.6,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile.png
304,Aron,"['Metal', 'Rock']",0.4,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/aron.png
305,Lairon,"['Metal', 'Rock']",0.9,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/lairon.png
306,Aggron,"['Metal', 'Rock']",2.1,793.7,360,https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron.png
307,Meditite,"['Fighting', 'Psychic']",0.6,24.7,11.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/meditite.png
308,Medicham,"['Fighting', 'Psychic']",1.3,69.4,31.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham.png
309,Electrike,['Electric'],0.6,33.5,15.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrike.png
310,Manectric,['Electric'],1.5,88.6,40.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric.png
311,Plusle,['Electric'],0.4,9.3,4.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/plusle.png
312,Minun,['Electric'],0.4,9.3,4.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/minun.png
313,Volbeat,['Bug'],0.7,39,17.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/volbeat.png
314,Illumise,['Bug'],0.6,39,17.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/illumise.png
315,Roselia,"['Grass', 'Poison']",0.3,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/roselia.png
316,Gulpin,['Poison'],0.4,22.7,10.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/gulpin.png
317,Swalot,['Poison'],1.7,176.4,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/swalot.png
318,Carvanha,"['Water', 'Darkness']",0.8,45.9,20.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/carvanha.png
319,Sharpedo,"['Water', 'Darkness']",1.8,195.8,88.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo.png
320,Wailmer,['Water'],2,286.6,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailmer.png
321,Wailord,['Water'],14.5,877.4,398,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailord.png
322,Numel,"['Fire', 'Ground']",0.7,52.9,24,https://img.pokemondb.net/sprites/scarlet-violet/icon/numel.png
323,Camerupt,"['Fire', 'Ground']",1.9,485,220,https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt.png
324,Torkoal,['Fire'],0.5,177.3,80.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/torkoal.png
325,Spoink,['Psychic'],0.7,67.5,30.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/spoink.png
326,Grumpig,['Psychic'],0.9,157.6,71.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/grumpig.png
327,Spinda,['Normal'],1.1,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/spinda.png
328,Trapinch,['Ground'],0.7,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/trapinch.png
329,Vibrava,"['Ground', 'Dragon']",1.1,33.7,15.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/vibrava.png
330,Flygon,"['Ground', 'Dragon']",2,180.8,82,https://img.pokemondb.net/sprites/scarlet-violet/icon/flygon.png
331,Cacnea,['Grass'],0.4,113.1,51.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacnea.png
332,Cacturne,"['Grass', 'Darkness']",1.3,170.6,77.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacturne.png
333,Swablu,"['Normal', 'Flying']",0.4,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/swablu.png
334,Altaria,"['Dragon', 'Flying']",1.1,45.4,20.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria.png
335,Zangoose,['Normal'],1.3,88.8,40.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/zangoose.png
336,Seviper,['Poison'],2.7,115.7,52.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/seviper.png
337,Lunatone,"['Rock', 'Psychic']",1,370.4,168,https://img.pokemondb.net/sprites/scarlet-violet/icon/lunatone.png
338,Solrock,"['Rock', 'Psychic']",1.2,339.5,154,https://img.pokemondb.net/sprites/scarlet-violet/icon/solrock.png
339,Barboach,"['Water', 'Ground']",0.4,4.2,1.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/barboach.png
340,Whiscash,"['Water', 'Ground']",0.9,52,23.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/whiscash.png
341,Corphish,['Water'],0.6,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/corphish.png
342,Crawdaunt,"['Water', 'Darkness']",1.1,72.3,32.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/crawdaunt.png
343,Baltoy,"['Ground', 'Psychic']",0.5,47.4,21.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/baltoy.png
344,Claydol,"['Ground', 'Psychic']",1.5,238.1,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/claydol.png
345,Lileep,"['Rock', 'Grass']",1,52.5,23.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/lileep.png
346,Cradily,"['Rock', 'Grass']",1.5,133.2,60.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/cradily.png
347,Anorith,"['Rock', 'Bug']",0.7,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/anorith.png
348,Armaldo,"['Rock', 'Bug']",1.5,150.4,68.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/armaldo.png
349,Feebas,['Water'],0.6,16.3,7.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/feebas.png
350,Milotic,['Water'],6.2,357.1,162,https://img.pokemondb.net/sprites/scarlet-violet/icon/milotic.png
351,Castform,['Normal'],0.3,1.8,0.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/castform.png
352,Kecleon,['Normal'],1,48.5,22,https://img.pokemondb.net/sprites/scarlet-violet/icon/kecleon.png
353,Shuppet,['Ghost'],0.6,5.1,2.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/shuppet.png
354,Banette,['Ghost'],1.1,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/banette.png
355,Duskull,['Ghost'],0.8,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/duskull.png
356,Dusclops,['Ghost'],1.6,67.5,30.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/dusclops.png
357,Tropius,"['Grass', 'Flying']",2,220.5,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/tropius.png
358,Chimecho,['Psychic'],0.6,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/chimecho.png
359,Absol,['Darkness'],1.2,103.6,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/absol.png
360,Wynaut,['Psychic'],0.6,30.9,14,https://img.pokemondb.net/sprites/scarlet-violet/icon/wynaut.png
361,Snorunt,['Ice'],0.7,37,16.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/snorunt.png
362,Glalie,['Ice'],1.5,565.5,256.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/glalie.png
363,Spheal,"['Ice', 'Water']",0.8,87.1,39.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/spheal.png
364,Sealeo,"['Ice', 'Water']",1.1,193.1,87.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/sealeo.png
365,Walrein,"['Ice', 'Water']",1.4,332,150.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/walrein.png
366,Clamperl,['Water'],0.4,115.7,52.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/clamperl.png
367,Huntail,['Water'],1.7,59.5,27,https://img.pokemondb.net/sprites/scarlet-violet/icon/huntail.png
368,Gorebyss,['Water'],1.8,49.8,22.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/gorebyss.png
369,Relicanth,"['Water', 'Rock']",1,51.6,23.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/relicanth.png
370,Luvdisc,['Water'],0.6,19.2,8.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/luvdisc.png
371,Bagon,['Dragon'],0.6,92.8,42.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/bagon.png
372,Shelgon,['Dragon'],1.1,243.6,110.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shelgon.png
373,Salamence,"['Dragon', 'Flying']",1.5,226.2,102.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/salamence.png
374,Beldum,"['Metal', 'Psychic']",0.6,209.9,95.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/beldum.png
375,Metang,"['Metal', 'Psychic']",1.2,446.4,202.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/metang.png
376,Metagross,"['Metal', 'Psychic']",1.6,1212.5,550,https://img.pokemondb.net/sprites/scarlet-violet/icon/metagross.png
377,Regirock,['Rock'],1.7,507.1,230,https://img.pokemondb.net/sprites/scarlet-violet/icon/regirock.png
378,Regice,['Ice'],1.8,385.8,175,https://img.pokemondb.net/sprites/scarlet-violet/icon/regice.png
379,Registeel,['Metal'],1.9,451.9,205,https://img.pokemondb.net/sprites/scarlet-violet/icon/registeel.png
380,Latias,"['Dragon', 'Psychic']",1.4,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/latias.png
381,Latios,"['Dragon', 'Psychic']",2,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/latios.png
382,Kyogre,['Water'],4.5,776,352,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyogre.png
383,Groudon,['Ground'],3.5,2094.4,950,https://img.pokemondb.net/sprites/scarlet-violet/icon/groudon.png
384,Rayquaza,"['Dragon', 'Flying']",7,455.3,206.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/rayquaza.png
385,Jirachi,"['Metal', 'Psychic']",0.3,2.4,1.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/jirachi.png
386,Deoxys,['Psychic'],1.7,134,60.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-normal.png
387,Turtwig,['Grass'],0.4,22.5,10.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/turtwig.png
388,Grotle,['Grass'],1.1,213.8,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/grotle.png
389,Torterra,"['Grass', 'Ground']",2.2,683.4,310,https://img.pokemondb.net/sprites/scarlet-violet/icon/torterra.png
390,Chimchar,['Fire'],0.5,13.7,6.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/chimchar.png
391,Monferno,"['Fire', 'Fighting']",0.9,48.5,22,https://img.pokemondb.net/sprites/scarlet-violet/icon/monferno.png
392,Infernape,"['Fire', 'Fighting']",1.2,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/infernape.png
393,Piplup,['Water'],0.4,11.5,5.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/piplup.png
394,Prinplup,['Water'],0.8,50.7,23,https://img.pokemondb.net/sprites/scarlet-violet/icon/prinplup.png
395,Empoleon,"['Water', 'Metal']",1.7,186.3,84.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/empoleon.png
396,Starly,"['Normal', 'Flying']",0.3,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/starly.png
397,Staravia,"['Normal', 'Flying']",0.6,34.2,15.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/staravia.png
398,Staraptor,"['Normal', 'Flying']",1.2,54.9,24.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/staraptor.png
399,Bidoof,['Normal'],0.5,44.1,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/bidoof.png
400,Bibarel,"['Normal', 'Water']",1,69.4,31.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/bibarel.png
401,Kricketot,['Bug'],0.3,4.9,2.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketot.png
402,Kricketune,['Bug'],1,56.2,25.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketune.png
403,Shinx,['Electric'],0.5,20.9,9.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shinx.png
404,Luxio,['Electric'],0.9,67.2,30.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxio.png
405,Luxray,['Electric'],1.4,92.6,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxray.png
406,Budew,"['Grass', 'Poison']",0.2,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/budew.png
407,Roserade,"['Grass', 'Poison']",0.9,32,14.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/roserade.png
408,Cranidos,['Rock'],0.9,69.4,31.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cranidos.png
409,Rampardos,['Rock'],1.6,226,102.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/rampardos.png
410,Shieldon,"['Rock', 'Metal']",0.5,125.7,57,https://img.pokemondb.net/sprites/scarlet-violet/icon/shieldon.png
411,Bastiodon,"['Rock', 'Metal']",1.3,329.6,149.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/bastiodon.png
412,Burmy,['Bug'],0.2,7.5,3.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-plant.png
413,Wormadam,"['Bug', 'Grass']",0.5,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-plant.png
414,Mothim,"['Bug', 'Flying']",0.9,51.4,23.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/mothim.png
415,Combee,"['Bug', 'Flying']",0.3,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/combee.png
416,Vespiquen,"['Bug', 'Flying']",1.2,84.9,38.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/vespiquen.png
417,Pachirisu,['Electric'],0.4,8.6,3.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/pachirisu.png
418,Buizel,['Water'],0.7,65,29.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/buizel.png
419,Floatzel,['Water'],1.1,73.9,33.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/floatzel.png
420,Cherubi,['Grass'],0.4,7.3,3.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/cherubi.png
421,Cherrim,['Grass'],0.5,20.5,9.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/cherrim.png
422,Shellos,['Water'],0.3,13.9,6.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellos.png
423,Gastrodon,"['Water', 'Ground']",0.9,65.9,29.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastrodon.png
424,Ambipom,['Normal'],1.2,44.8,20.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/ambipom.png
425,Drifloon,"['Ghost', 'Flying']",0.4,2.6,1.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/drifloon.png
426,Drifblim,"['Ghost', 'Flying']",1.2,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/drifblim.png
427,Buneary,['Normal'],0.4,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/buneary.png
428,Lopunny,['Normal'],1.2,73.4,33.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/lopunny.png
429,Mismagius,['Ghost'],0.9,9.7,4.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/mismagius.png
430,Honchkrow,"['Darkness', 'Flying']",0.9,60.2,27.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/honchkrow.png
431,Glameow,['Normal'],0.5,8.6,3.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/glameow.png
432,Purugly,['Normal'],1,96.6,43.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/purugly.png
433,Chingling,['Psychic'],0.2,1.3,0.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/chingling.png
434,Stunky,"['Poison', 'Darkness']",0.4,42.3,19.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunky.png
435,Skuntank,"['Poison', 'Darkness']",1,83.8,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/skuntank.png
436,Bronzor,"['Metal', 'Psychic']",0.5,133.4,60.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/bronzor.png
437,Bronzong,"['Metal', 'Psychic']",1.3,412.3,187,https://img.pokemondb.net/sprites/scarlet-violet/icon/bronzong.png
438,Bonsly,['Rock'],0.5,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/bonsly.png
439,Mime Jr.,"['Psychic', 'Fairy']",0.6,28.7,13,https://img.pokemondb.net/sprites/scarlet-violet/icon/mime-jr.png
440,Happiny,['Normal'],0.6,53.8,24.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/happiny.png
441,Chatot,"['Normal', 'Flying']",0.5,4.2,1.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/chatot.png
442,Spiritomb,"['Ghost', 'Darkness']",1,238.1,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/spiritomb.png
443,Gible,"['Dragon', 'Ground']",0.7,45.2,20.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/gible.png
444,Gabite,"['Dragon', 'Ground']",1.4,123.5,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/gabite.png
445,Garchomp,"['Dragon', 'Ground']",1.9,209.4,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/garchomp.png
446,Munchlax,['Normal'],0.6,231.5,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/munchlax.png
447,Riolu,['Fighting'],0.7,44.5,20.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/riolu.png
448,Lucario,"['Fighting', 'Metal']",1.2,119,54,https://img.pokemondb.net/sprites/scarlet-violet/icon/lucario.png
449,Hippopotas,['Ground'],0.8,109.1,49.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/hippopotas.png
450,Hippowdon,['Ground'],2,661.4,300,https://img.pokemondb.net/sprites/scarlet-violet/icon/hippowdon.png
451,Skorupi,"['Poison', 'Bug']",0.8,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/skorupi.png
452,Drapion,"['Poison', 'Darkness']",1.3,135.6,61.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/drapion.png
453,Croagunk,"['Poison', 'Fighting']",0.7,50.7,23,https://img.pokemondb.net/sprites/scarlet-violet/icon/croagunk.png
